id ;codigo ;cantidad;precio_venta;modelo_vehiculo;id_categoria;id_marca;medida;biscosidad;nombre
113;;0;17.95;;7;35;;;LIMPIA PARABRISAS
114;;1;29.95;;7;36;;;LIMPIA PARABRISAS
115;;4;7.95;;7;37;;;LIMPIA PARABRISAS
116;;0;8.95;;7;38;;;LIMPIA PARABRISAS
117;;11;9.95;;7;39;;;LIMPIA PARABRISAS
118;;9;10.95;;7;40;;;LIMPIA PARABRISAS
119;;0;11.95;;7;41;;;LIMPIA PARABRISAS
120;;4;12.95;;7;42;;;LIMPIA PARABRISAS
121;;4;14.95;;7;43;;;LIMPIA PARABRISAS
122;;2;19.95;;7;44;;;LIMPIA PARABRISAS
123;;2;24.95;;7;45;;;LIMPIA PARABRISAS
124;MAG00809;0;5.99;;8;46;PINTA;;
125;MAG00809;4;11.3;;8;46;CUARTO;;
126;UNI-801;4;11.98;;9;47;CUARTO;SAE 0W-20 FULL SINTETICO;
127;UNI-061;3;12.32;;9;47;CUARTO;SAE 5W-30 FULL SINTETICO;
128;UNI-531;9;12.32;;9;47;CUARTO;SAE 10W- 30 FULL SINTETICO;
129;UNI-621;0;8.32;;9;47;CUARTO;SAE 10W-30  SEMI SINTETICO;
130;UNI-O21;0;8.99;;9;47;CUARTO;SAE 20W- 50 MINERAL;
131;MAG 871;1;8.48;;9;46;CUARTO;SAE 25W-60;
132;  532-5Q;14;45.99;;9;47;PACHON;SAE 10W-30 FULL SINTETICO;
133;HYU-1092;1;59.36;;9;48;PACHON;HD ULTRA 15W40 MOTOR DIESEL ;
134;;2;0;;9;47;PACHON;SAE 20W-50;
135;MAG- 922;3;55.57;;9;46;PACHON;SAE 5W-30 FULL SINTETICO EUROPEO;
136;ICAUMOT136;14;15.95;;9;50;CUARTO;5W30 FULL SINTETICO;
137;ICAUMOT139;0;14.95;;9;50;CUARTO ;10W30 FULL SINTETICO;
138;ICAUMOT225;9;69.75;;9;50;PACHON;10W30 FULL SINTETICO;
139;ICAUMOT224;4;70.75;;9;50;PACHON ;5W30 FULL SINTETICO;
140;UNI-681;9;13.45;;10;47;1 QT.;CVT;
141;UNI-891;1;14.25;;10;47;1QT.;LV;
142;UNI-881;6;13;;10;52;1QT.;HV;
143;ASN-1061;10;24.95;;10;53;1QT.;CVT JAPONES;
144;E113653;3;0;;10;54;1QT.;ATF 6700 FULL SINTETICO;
145;;1;0;;10;54;1QT;ATF 1000;
146;20-4728-0003;7;18.95;;10;55;1QT.;ATF1 EUROPEO;
147;UNI-071;11;14.92;;10;47;1QT.;SAE 80W90 ESTÁNDAR;
148;MAG-081;6;13.9;;10;56;1QT.;SAE 85W-140 TRANSFER ;
149;CIT-781;12;0;;10;57;1QT.;SAE  75W-90 TRANSFER FULL SINTETICO;
150;NS-3;0;0;;10;58;1QT.;CVTF;
151;VAICO;0;0;;10;59;1 QT.;ATF VI;
