id ;nombre
1;FILTRO DE ACEITE DE MOTOR
2;FILTRO DE CABINA
3;FILTRO DE AIRE DE MOTOR
4;LIMPIADORES DE VEHICULO
5;ANTICONGELANTE /REFRIGERANTE DE MOTOR
6;PASTILLAS DE FRENO DELANTERAS, TRASERAS Y ZAPATAS DE FRENO
7;LIMPIA PARABRISAS
8;ACEITE POWER STEERING
9;ACEITE DE MOTOR
10;ACEITE DE TRANSMICION 
11;PRODUCTOS VARIOS
